Entry Time,Exit Time,Type,Entry Price,Exit Price,Quantity,PNL,Outcome,Balance After Trade,cumulative_pnl,cumulative_balance
2020-01-02 01:09:00,2020-01-02 01:17:00,long,8784.75,8779.75,1,-115.0,SL,99885.0,-115.0,99885.0
2020-01-02 01:33:00,2020-01-02 01:59:00,short,8776.75,8781.75,1,-115.0,SL,99770.0,-230.0,99770.0
2020-01-02 07:14:00,2020-01-02 07:21:00,long,8790.5,8795.5,1,85.0,TP,99855.0,-145.0,99855.0
2020-01-02 20:43:00,2020-01-02 20:50:00,long,8868.0,8873.0,1,85.0,TP,99940.0,-60.0,99940.0
2020-01-03 01:19:00,2020-01-03 01:30:00,short,8903.75,8898.75,1,85.0,TP,100025.0,25.0,100025.0
2020-01-03 09:35:00,2020-01-03 09:42:00,long,8779.25,8774.25,1,-115.0,SL,99910.0,-90.0,99910.0
2020-01-03 11:12:00,2020-01-03 11:18:00,short,8751.75,8756.75,1,-115.0,SL,99795.0,-205.0,99795.0
2020-01-03 13:54:00,2020-01-03 13:55:00,long,8796.25,8791.25,1,-115.0,SL,99680.0,-320.0,99680.0
2020-01-03 14:30:00,2020-01-03 14:31:00,long,8791.5,8796.5,1,85.0,TP,99765.0,-235.0,99765.0
2020-01-03 15:31:00,2020-01-03 15:33:00,short,8825.25,8830.25,1,-115.0,SL,99650.0,-350.0,99650.0
2020-01-03 15:57:00,2020-01-03 15:58:00,long,8822.5,8817.5,1,-115.0,SL,99535.0,-465.0,99535.0
2020-01-03 16:06:00,2020-01-03 16:07:00,long,8815.0,8810.0,1,-115.0,SL,99420.0,-580.0,99420.0
2020-01-03 17:24:00,2020-01-03 17:33:00,long,8847.75,8852.75,1,85.0,TP,99505.0,-495.0,99505.0
2020-01-03 19:28:00,2020-01-03 19:37:00,long,8827.0,8832.0,1,85.0,TP,99590.0,-410.0,99590.0
2020-01-06 04:42:00,2020-01-06 04:52:00,short,8788.5,8783.5,1,85.0,TP,99675.0,-325.0,99675.0
2020-01-06 05:55:00,2020-01-06 06:03:00,short,8781.25,8776.25,1,85.0,TP,99760.0,-240.0,99760.0
2020-01-06 09:00:00,2020-01-06 09:02:00,long,8732.25,8737.25,1,85.0,TP,99845.0,-155.0,99845.0
2020-01-06 13:41:00,2020-01-06 14:06:00,short,8748.25,8753.25,1,-115.0,SL,99730.0,-270.0,99730.0
2020-01-06 16:34:00,2020-01-06 16:49:00,short,8830.75,8825.75,1,85.0,TP,99815.0,-185.0,99815.0
2020-01-06 18:24:00,2020-01-06 19:00:00,long,8832.5,8827.5,1,-115.0,SL,99700.0,-300.0,99700.0
2020-01-06 21:56:00,2020-01-06 23:09:00,long,8854.0,8859.0,1,85.0,TP,99785.0,-215.0,99785.0
2020-01-06 23:28:00,2020-01-06 23:43:00,long,8856.5,8851.5,1,-115.0,SL,99670.0,-330.0,99670.0
2020-01-07 03:35:00,2020-01-07 04:20:00,short,8871.5,8876.5,1,-115.0,SL,99555.0,-445.0,99555.0
2020-01-07 04:59:00,2020-01-07 05:30:00,short,8882.25,8877.25,1,85.0,TP,99640.0,-360.0,99640.0
2020-01-07 05:50:00,2020-01-07 06:16:00,short,8875.25,8870.25,1,85.0,TP,99725.0,-275.0,99725.0
2020-01-07 12:19:00,2020-01-07 12:44:00,long,8873.25,8878.25,1,85.0,TP,99810.0,-190.0,99810.0
2020-01-07 16:16:00,2020-01-07 16:25:00,short,8880.0,8885.0,1,-115.0,SL,99695.0,-305.0,99695.0
2020-01-07 20:26:00,2020-01-07 20:39:00,long,8877.75,8872.75,1,-115.0,SL,99580.0,-420.0,99580.0
2020-01-08 02:59:00,2020-01-08 03:05:00,short,8818.5,8813.5,1,85.0,TP,99665.0,-335.0,99665.0
2020-01-08 03:50:00,2020-01-08 03:52:00,long,8811.5,8816.5,1,85.0,TP,99750.0,-250.0,99750.0
2020-01-08 14:50:00,2020-01-08 14:54:00,short,8879.75,8884.75,1,-115.0,SL,99635.0,-365.0,99635.0
2020-01-08 16:28:00,2020-01-08 16:29:00,long,8886.5,8891.5,1,85.0,TP,99720.0,-280.0,99720.0
2020-01-09 02:30:00,2020-01-09 02:54:00,short,8954.75,8949.75,1,85.0,TP,99805.0,-195.0,99805.0
2020-01-09 03:07:00,2020-01-09 03:12:00,short,8950.0,8945.0,1,85.0,TP,99890.0,-110.0,99890.0
2020-01-09 04:07:00,2020-01-09 04:32:00,long,8947.5,8952.5,1,85.0,TP,99975.0,-25.0,99975.0
2020-01-09 05:36:00,2020-01-09 05:48:00,long,8960.0,8965.0,1,85.0,TP,100060.0,60.0,100060.0
2020-01-09 07:50:00,2020-01-09 07:58:00,short,8984.0,8989.0,1,-115.0,SL,99945.0,-55.0,99945.0
2020-01-09 08:50:00,2020-01-09 08:58:00,short,8989.25,8984.25,1,85.0,TP,100030.0,30.0,100030.0
2020-01-09 09:55:00,2020-01-09 10:30:00,long,8985.75,8980.75,1,-115.0,SL,99915.0,-85.0,99915.0
2020-01-09 11:23:00,2020-01-09 11:56:00,long,8981.0,8986.0,1,85.0,TP,100000.0,0.0,100000.0
2020-01-09 12:06:00,2020-01-09 12:13:00,long,8985.25,8990.25,1,85.0,TP,100085.0,85.0,100085.0
2020-01-09 13:44:00,2020-01-09 14:28:00,short,8995.5,9000.5,1,-115.0,SL,99970.0,-30.0,99970.0
2020-01-09 15:48:00,2020-01-09 16:08:00,long,9011.75,9006.75,1,-115.0,SL,99855.0,-145.0,99855.0
2020-01-09 16:22:00,2020-01-09 16:23:00,short,9006.5,9001.5,1,85.0,TP,99940.0,-60.0,99940.0
2020-01-09 18:27:00,2020-01-09 18:29:00,long,8980.0,8985.0,1,85.0,TP,100025.0,25.0,100025.0
2020-01-09 20:50:00,2020-01-09 20:54:00,long,8994.5,8999.5,1,85.0,TP,100110.0,110.0,100110.0
2020-01-09 21:34:00,2020-01-09 23:00:00,short,9007.25,9012.25,1,-115.0,SL,99995.0,-5.0,99995.0
2020-01-09 23:34:00,2020-01-10 00:22:00,long,9016.5,9021.5,1,85.0,TP,100080.0,80.0,100080.0
2020-01-10 06:52:00,2020-01-10 08:20:00,short,9038.5,9033.5,1,85.0,TP,100165.0,165.0,100165.0
2020-01-10 12:30:00,2020-01-10 13:10:00,short,9046.5,9041.5,1,85.0,TP,100250.0,250.0,100250.0
2020-01-10 18:01:00,2020-01-10 18:08:00,long,9009.25,9014.25,1,85.0,TP,100335.0,335.0,100335.0
2020-01-10 19:20:00,2020-01-10 19:25:00,short,9004.75,8999.75,1,85.0,TP,100420.0,420.0,100420.0
2020-01-10 19:47:00,2020-01-10 19:55:00,long,8993.25,8998.25,1,85.0,TP,100505.0,505.0,100505.0
